Id,ActivityDateTime,StepTotal
5577150313,2016-04-08 21:00:00,57
5577150313,2016-04-08 22:00:00,0
5577150313,2016-04-08 23:00:00,4
5577150313,2016-04-09 00:00:00,0
5577150313,2016-04-09 01:00:00,19
5577150313,2016-04-09 02:00:00,0
5577150313,2016-04-09 03:00:00,0
5577150313,2016-04-09 04:00:00,0
5577150313,2016-04-09 05:00:00,7
5577150313,2016-04-09 06:00:00,297
5577150313,2016-04-09 07:00:00,1526
5577150313,2016-04-09 08:00:00,1628
5577150313,2016-04-09 09:00:00,258
5577150313,2016-04-09 10:00:00,64
5577150313,2016-04-09 11:00:00,377
5577150313,2016-04-09 12:00:00,433
5577150313,2016-04-09 13:00:00,1469
5577150313,2016-04-09 14:00:00,139
5577150313,2016-04-09 15:00:00,145
5577150313,2016-04-09 16:00:00,1552
5577150313,2016-04-09 17:00:00,1190
5577150313,2016-04-09 18:00:00,472
5577150313,2016-04-09 19:00:00,265
5577150313,2016-04-09 20:00:00,558
5577150313,2016-04-09 21:00:00,0
5577150313,2016-04-09 22:00:00,0
5577150313,2016-04-09 23:00:00,95
5577150313,2016-04-10 00:00:00,0
5577150313,2016-04-10 01:00:00,8
5577150313,2016-04-10 02:00:00,0
5577150313,2016-04-10 03:00:00,0
5577150313,2016-04-10 04:00:00,6
5577150313,2016-04-10 05:00:00,0
5577150313,2016-04-10 06:00:00,1293
5577150313,2016-04-10 07:00:00,64
5577150313,2016-04-10 08:00:00,699
5577150313,2016-04-10 09:00:00,166
5577150313,2016-04-10 10:00:00,852
5577150313,2016-04-10 11:00:00,539
5577150313,2016-04-10 12:00:00,348
5577150313,2016-04-10 13:00:00,348
5577150313,2016-04-10 14:00:00,30
5577150313,2016-04-10 15:00:00,323
5577150313,2016-04-10 16:00:00,495
5577150313,2016-04-10 17:00:00,479
5577150313,2016-04-10 18:00:00,595
5577150313,2016-04-10 19:00:00,754
5577150313,2016-04-10 20:00:00,2668
5577150313,2016-04-10 21:00:00,0
5577150313,2016-04-10 22:00:00,99
5577150313,2016-04-10 23:00:00,10
5577150313,2016-04-11 00:00:00,0
5577150313,2016-04-11 01:00:00,0
5577150313,2016-04-11 02:00:00,6
5577150313,2016-04-11 03:00:00,34
5577150313,2016-04-11 04:00:00,0
5577150313,2016-04-11 05:00:00,45
5577150313,2016-04-11 06:00:00,1808
5577150313,2016-04-11 07:00:00,277
5577150313,2016-04-11 08:00:00,289
5577150313,2016-04-11 09:00:00,163
