Id,Time,Value_mean,Value_sum,Value_max,Value_min
2022484408,2016-04-06 11:00:00,68.97129186602871,28830,95.0,56.0
2022484408,2016-04-06 12:00:00,77.93145161290323,38654,105.0,57.0
2022484408,2016-04-06 13:00:00,76.48210023866348,32046,108.0,57.0
2022484408,2016-04-06 14:00:00,84.19545454545455,37046,120.0,60.0
2022484408,2016-04-06 15:00:00,77.24009324009324,33136,114.0,62.0
2022484408,2016-04-06 16:00:00,75.26842105263158,28602,98.0,61.0
2022484408,2016-04-06 17:00:00,80.78823529411764,34335,114.0,57.0
2022484408,2016-04-06 18:00:00,88.48243992606285,47869,121.0,67.0
2022484408,2016-04-06 19:00:00,78.91648822269808,36854,104.0,62.0
2022484408,2016-04-06 20:00:00,74.97157622739019,29014,88.0,66.0
2022484408,2016-04-06 21:00:00,86.08333333333333,1033,87.0,83.0
2022484408,2016-04-06 22:00:00,,0,,
2022484408,2016-04-06 23:00:00,,0,,
2022484408,2016-04-07 00:00:00,,0,,
2022484408,2016-04-07 01:00:00,,0,,
2022484408,2016-04-07 02:00:00,,0,,
2022484408,2016-04-07 03:00:00,,0,,
2022484408,2016-04-07 04:00:00,,0,,
2022484408,2016-04-07 05:00:00,,0,,
2022484408,2016-04-07 06:00:00,,0,,
2022484408,2016-04-07 07:00:00,,0,,
2022484408,2016-04-07 08:00:00,82.73333333333333,6205,108.0,60.0
2022484408,2016-04-07 09:00:00,106.65983606557377,52050,163.0,57.0
2022484408,2016-04-07 10:00:00,107.6432865731463,53714,162.0,72.0
2022484408,2016-04-07 11:00:00,94.98405466970387,41698,124.0,64.0
2022484408,2016-04-07 12:00:00,86.6376811594203,35868,122.0,64.0
2022484408,2016-04-07 13:00:00,86.00294117647059,29241,117.0,62.0
2022484408,2016-04-07 14:00:00,99.54166666666667,45391,111.0,84.0
2022484408,2016-04-07 15:00:00,81.73385012919897,31631,101.0,68.0
2022484408,2016-04-07 16:00:00,86.86754966887418,26234,109.0,68.0
2022484408,2016-04-07 17:00:00,87.30618892508143,26803,119.0,58.0
2022484408,2016-04-07 18:00:00,79.53615960099751,31894,104.0,62.0
2022484408,2016-04-07 19:00:00,77.00997506234414,30881,111.0,61.0
2022484408,2016-04-07 20:00:00,84.44444444444444,25840,121.0,61.0
2022484408,2016-04-07 21:00:00,,0,,
2022484408,2016-04-07 22:00:00,,0,,
2022484408,2016-04-07 23:00:00,,0,,
2022484408,2016-04-08 00:00:00,,0,,
2022484408,2016-04-08 01:00:00,,0,,
2022484408,2016-04-08 02:00:00,,0,,
2022484408,2016-04-08 03:00:00,,0,,
2022484408,2016-04-08 04:00:00,,0,,
2022484408,2016-04-08 05:00:00,,0,,
2022484408,2016-04-08 06:00:00,79.25,3487,134.0,63.0
2022484408,2016-04-08 07:00:00,79.15418502202643,35936,108.0,58.0
2022484408,2016-04-08 08:00:00,80.77351247600768,42083,119.0,55.0
2022484408,2016-04-08 09:00:00,114.38376383763837,61996,144.0,67.0
2022484408,2016-04-08 10:00:00,84.20276497695852,18272,100.0,66.0
2022484408,2016-04-08 11:00:00,83.83157894736843,23892,108.0,68.0
2022484408,2016-04-08 12:00:00,84.92922374429224,37199,104.0,66.0
2022484408,2016-04-08 13:00:00,74.47201946472019,30608,103.0,59.0
2022484408,2016-04-08 14:00:00,74.82997762863535,33449,102.0,61.0
2022484408,2016-04-08 15:00:00,78.71566265060241,32667,104.0,58.0
2022484408,2016-04-08 16:00:00,75.70967741935483,32858,101.0,58.0
2022484408,2016-04-08 17:00:00,77.92663043478261,28677,111.0,62.0
2022484408,2016-04-08 18:00:00,70.70426065162907,28211,86.0,57.0
2022484408,2016-04-08 19:00:00,76.0320197044335,30869,100.0,57.0
2022484408,2016-04-08 20:00:00,81.14953271028037,8683,92.0,73.0
2022484408,2016-04-08 21:00:00,,0,,
2022484408,2016-04-08 22:00:00,,0,,
2022484408,2016-04-08 23:00:00,,0,,
2022484408,2016-04-09 00:00:00,,0,,
2022484408,2016-04-09 01:00:00,,0,,
2022484408,2016-04-09 02:00:00,,0,,
2022484408,2016-04-09 03:00:00,,0,,
2022484408,2016-04-09 04:00:00,,0,,
2022484408,2016-04-09 05:00:00,81.88785046728972,26286,118.0,66.0
2022484408,2016-04-09 06:00:00,76.47210300429184,35636,125.0,59.0
2022484408,2016-04-09 07:00:00,110.82186234817814,54746,167.0,57.0
2022484408,2016-04-09 08:00:00,96.82278481012658,45894,161.0,71.0
2022484408,2016-04-09 09:00:00,89.28953771289538,36698,109.0,76.0
2022484408,2016-04-09 10:00:00,87.09273182957394,34750,119.0,62.0
2022484408,2016-04-09 11:00:00,74.20518867924528,31463,106.0,57.0
2022484408,2016-04-09 12:00:00,74.20266666666667,27826,94.0,55.0
2022484408,2016-04-09 13:00:00,82.36802030456853,32453,102.0,71.0
2022484408,2016-04-09 14:00:00,74.90274314214464,30036,87.0,64.0
2022484408,2016-04-09 15:00:00,75.88489208633094,31644,100.0,64.0
2022484408,2016-04-09 16:00:00,88.37062937062937,37911,114.0,58.0
2022484408,2016-04-09 17:00:00,79.10397553516819,25867,108.0,58.0
2022484408,2016-04-09 18:00:00,79.63764044943821,28351,105.0,61.0
2022484408,2016-04-09 19:00:00,82.93537414965986,24383,104.0,68.0
2022484408,2016-04-09 20:00:00,,0,,
2022484408,2016-04-09 21:00:00,,0,,
2022484408,2016-04-09 22:00:00,,0,,
2022484408,2016-04-09 23:00:00,,0,,
2022484408,2016-04-10 00:00:00,,0,,
2022484408,2016-04-10 01:00:00,,0,,
2022484408,2016-04-10 02:00:00,,0,,
2022484408,2016-04-10 03:00:00,,0,,
2022484408,2016-04-10 04:00:00,,0,,
2022484408,2016-04-10 05:00:00,,0,,
2022484408,2016-04-10 06:00:00,,0,,
2022484408,2016-04-10 07:00:00,93.27272727272727,1026,110.0,70.0
2022484408,2016-04-10 08:00:00,85.1804008908686,38246,113.0,61.0
2022484408,2016-04-10 09:00:00,91.90950226244344,40624,120.0,74.0
2022484408,2016-04-10 10:00:00,87.56354916067146,36514,110.0,71.0
2022484408,2016-04-10 11:00:00,89.83216783216783,38538,111.0,63.0
2022484408,2016-04-10 12:00:00,79.44080604534005,31538,107.0,57.0
2022484408,2016-04-10 13:00:00,78.49638554216868,32576,106.0,62.0
2022484408,2016-04-10 14:00:00,78.38083538083538,31901,107.0,59.0
2022484408,2016-04-10 15:00:00,74.94086021505376,27878,113.0,55.0
2022484408,2016-04-10 16:00:00,84.93457943925233,36352,108.0,56.0
2022484408,2016-04-10 17:00:00,65.38832487309645,25763,91.0,52.0
2022484408,2016-04-10 18:00:00,66.8586956521739,24604,87.0,50.0
2022484408,2016-04-10 19:00:00,82.78571428571429,26657,111.0,61.0
2022484408,2016-04-10 20:00:00,64.52816901408451,9163,77.0,57.0
2022484408,2016-04-10 21:00:00,,0,,
2022484408,2016-04-10 22:00:00,,0,,
2022484408,2016-04-10 23:00:00,,0,,
2022484408,2016-04-11 00:00:00,,0,,
2022484408,2016-04-11 01:00:00,,0,,
2022484408,2016-04-11 02:00:00,,0,,
2022484408,2016-04-11 03:00:00,,0,,
2022484408,2016-04-11 04:00:00,,0,,
2022484408,2016-04-11 05:00:00,,0,,
2022484408,2016-04-11 06:00:00,,0,,
2022484408,2016-04-11 07:00:00,,0,,
2022484408,2016-04-11 08:00:00,76.29652351738241,37309,99.0,56.0
2022484408,2016-04-11 09:00:00,122.65503080082135,59733,153.0,82.0
2022484408,2016-04-11 10:00:00,79.2375296912114,33359,103.0,46.0
2022484408,2016-04-11 11:00:00,73.64637002341921,31447,101.0,55.0
2022484408,2016-04-11 12:00:00,79.75757575757575,34216,114.0,55.0
2022484408,2016-04-11 13:00:00,75.0945945945946,33342,100.0,55.0
2022484408,2016-04-11 14:00:00,88.70823529411764,37701,110.0,61.0
2022484408,2016-04-11 15:00:00,74.78010471204189,28566,88.0,62.0
2022484408,2016-04-11 16:00:00,85.03589743589744,16582,99.0,73.0
2022484408,2016-04-11 17:00:00,80.56973293768546,27152,122.0,62.0
2022484408,2016-04-11 18:00:00,72.08542713567839,28690,89.0,61.0
2022484408,2016-04-11 19:00:00,67.99455040871935,24954,94.0,55.0
2022484408,2016-04-11 20:00:00,72.41605839416059,9921,84.0,63.0
2022484408,2016-04-11 21:00:00,,0,,
2022484408,2016-04-11 22:00:00,,0,,
2022484408,2016-04-11 23:00:00,,0,,
2022484408,2016-04-12 00:00:00,,0,,
2022484408,2016-04-12 01:00:00,,0,,
2022484408,2016-04-12 02:00:00,,0,,
2022484408,2016-04-12 03:00:00,,0,,
2022484408,2016-04-12 04:00:00,,0,,
2022484408,2016-04-12 05:00:00,,0,,
2022484408,2016-04-12 06:00:00,,0,,
2022484408,2016-04-12 07:00:00,83.2,22048,108.0,52.0
2022484408,2016-04-12 08:00:00,68.56200527704486,25985,112.0,54.0
2022484408,2016-04-12 09:00:00,66.40469973890339,25433,105.0,55.0
2022484408,2016-04-12 10:00:00,106.7160751565762,51117,134.0,60.0
2022484408,2016-04-12 11:00:00,71.52,1788,76.0,68.0
2026352035,2016-04-02 00:00:00,62.263565891472865,16064,68.0,57.0
2026352035,2016-04-02 01:00:00,70.84883720930233,12186,80.0,60.0
2026352035,2016-04-02 02:00:00,69.66666666666667,627,75.0,64.0
2347167796,2016-03-29 00:00:00,69.2523076923077,22507,89.0,59.0
2347167796,2016-03-29 01:00:00,65.98245614035088,22566,78.0,59.0
2347167796,2016-03-29 02:00:00,67.34375,21550,77.0,60.0
2347167796,2016-03-29 03:00:00,62.75,20833,87.0,56.0
2347167796,2016-03-29 04:00:00,60.51465798045603,18578,71.0,55.0
2347167796,2016-03-29 05:00:00,60.3405572755418,19490,68.0,56.0
2347167796,2016-03-29 06:00:00,71.28804347826087,26234,94.0,60.0
2347167796,2016-03-29 07:00:00,85.6297071129707,40931,105.0,61.0
2347167796,2016-03-29 08:00:00,84.45413870246085,37751,135.0,67.0
2347167796,2016-03-29 09:00:00,74.5525,29821,96.0,65.0
2347167796,2016-03-29 10:00:00,67.1,27511,89.0,57.0
2347167796,2016-03-29 11:00:00,67.55696202531645,26685,84.0,57.0
2347167796,2016-03-29 12:00:00,68.50909090909092,26376,99.0,58.0
2347167796,2016-03-29 13:00:00,87.1170634920635,43907,111.0,65.0
2347167796,2016-03-29 14:00:00,75.03667481662592,30690,92.0,64.0
2347167796,2016-03-29 15:00:00,72.04842615012106,29756,92.0,59.0
2347167796,2016-03-29 16:00:00,65.39141414141415,25895,79.0,58.0
2347167796,2016-03-29 17:00:00,67.0909090909091,27306,90.0,58.0
2347167796,2016-03-29 18:00:00,82.51843817787419,38041,119.0,63.0
2347167796,2016-03-29 19:00:00,69.41176470588235,23600,85.0,62.0
2347167796,2016-03-29 20:00:00,70.07361963190183,11422,108.0,58.0
2347167796,2016-03-29 21:00:00,71.55529411764707,30411,132.0,54.0
2347167796,2016-03-29 22:00:00,59.3186119873817,18804,77.0,53.0
2347167796,2016-03-29 23:00:00,61.17056856187291,18290,66.0,54.0
2347167796,2016-03-30 00:00:00,59.735593220338984,17622,79.0,56.0
2347167796,2016-03-30 01:00:00,57.93134328358209,19407,74.0,53.0
2347167796,2016-03-30 02:00:00,57.93712574850299,19351,72.0,52.0
2347167796,2016-03-30 03:00:00,58.65886287625418,17539,64.0,55.0
2347167796,2016-03-30 04:00:00,58.19875776397515,18740,82.0,54.0
2347167796,2016-03-30 05:00:00,56.635820895522386,18973,68.0,51.0
2347167796,2016-03-30 06:00:00,59.779310344827586,17336,79.0,51.0
2347167796,2016-03-30 07:00:00,76.18275862068965,22093,89.0,59.0
2347167796,2016-03-30 08:00:00,90.32250580046404,38929,129.0,61.0
2347167796,2016-03-30 09:00:00,85.92561983471074,31191,107.0,64.0
2347167796,2016-03-30 10:00:00,74.7892030848329,29093,115.0,59.0
2347167796,2016-03-30 11:00:00,89.125,35650,110.0,57.0
2347167796,2016-03-30 12:00:00,70.18717948717949,27373,98.0,54.0
2347167796,2016-03-30 13:00:00,68.67624020887729,26303,91.0,56.0
2347167796,2016-03-30 14:00:00,71.45584725536993,29940,89.0,62.0
2347167796,2016-03-30 15:00:00,72.140625,32319,102.0,60.0
2347167796,2016-03-30 16:00:00,68.18357487922705,28228,88.0,57.0
2347167796,2016-03-30 17:00:00,65.95612009237875,28559,83.0,56.0
2347167796,2016-03-30 18:00:00,89.29335793357933,48397,161.0,70.0
2347167796,2016-03-30 19:00:00,72.14790286975717,32683,106.0,58.0
2347167796,2016-03-30 20:00:00,70.09156626506024,29088,83.0,60.0
2347167796,2016-03-30 21:00:00,83.91525423728814,39608,143.0,60.0
2347167796,2016-03-30 22:00:00,83.16859122401847,36012,130.0,68.0
2347167796,2016-03-30 23:00:00,80.84319526627219,27325,99.0,72.0
2347167796,2016-03-31 00:00:00,74.33815028901734,25721,88.0,65.0
2347167796,2016-03-31 01:00:00,64.73993808049535,20911,83.0,58.0
2347167796,2016-03-31 02:00:00,62.83510638297872,11813,70.0,57.0
2347167796,2016-03-31 03:00:00,60.89795918367347,20888,68.0,56.0
2347167796,2016-03-31 04:00:00,58.09872611464968,18243,77.0,51.0
2347167796,2016-03-31 05:00:00,58.27428571428572,20396,71.0,54.0
2347167796,2016-03-31 06:00:00,61.54984894259819,20373,84.0,54.0
2347167796,2016-03-31 07:00:00,80.52475247524752,24399,103.0,66.0
2347167796,2016-03-31 08:00:00,81.46608315098469,37230,123.0,68.0
2347167796,2016-03-31 09:00:00,73.08762886597938,28358,87.0,63.0
2347167796,2016-03-31 10:00:00,72.30607966457023,34490,95.0,56.0
2347167796,2016-03-31 11:00:00,64.46410256410256,25141,75.0,53.0
2347167796,2016-03-31 12:00:00,67.47,26988,87.0,58.0
2347167796,2016-03-31 13:00:00,74.12039312039312,30167,97.0,62.0
